Tehtävä;Lkm
L01T1;2
L01T2;1
L01T3;2
L01T4;1
L01T5;1
Tyhjä;0
Tyhjä;0
Tyhjä;0
Tyhjä;0
Tyhjä;0
Tyhjä;0
Tyhjä;0
Tyhjä;0
Tyhjä;0
Tyhjä;0
Tyhjä;0
L04T2;1
Tyhjä;0
L04T4;1
L04T5;1
L05T1;1
L05T2;1
Tyhjä;0
Tyhjä;0
Tyhjä;0
Tyhjä;0
Tyhjä;0
Tyhjä;0
L06T4;1
Tyhjä;0
Tyhjä;0
L07T2;1
Tyhjä;0
Tyhjä;0
Tyhjä;0
Tyhjä;0
Tyhjä;0
Tyhjä;0
Tyhjä;0
Tyhjä;0
Tyhjä;0
Tyhjä;0
Tyhjä;0
L09T4;1
Tyhjä;0
Tyhjä;0
Tyhjä;0
Tyhjä;0
Tyhjä;0
Tyhjä;0
Tyhjä;0
Tyhjä;0
Tyhjä;0
Tyhjä;0
Tyhjä;0
Tyhjä;0
Tyhjä;0
Tyhjä;0
Tyhjä;0
Tyhjä;0
